date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:01	85695/85695	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-14ebf%22	https://themewagon.github.io/fruitables/	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/index.html	(from )
16:44:03	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2266b11ffa-239b%22	https://themewagon.github.io/robots.txt		(from )
16:44:05	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	C:/Mes%20Sites%20Web/com/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://themewagon.github.io/fruitables/)
16:44:07	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/Mes%20Sites%20Web/com/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://themewagon.github.io/fruitables/)
16:44:07	2532/2532	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-9e4%22	https://themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css	(from https://themewagon.github.io/fruitables/)
16:44:08	166446/166446	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-28a2e%22	https://themewagon.github.io/fruitables/css/bootstrap.min.css	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/css/bootstrap.min.css	(from https://themewagon.github.io/fruitables/)
16:44:08	9918/9918	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-26be%22	https://themewagon.github.io/fruitables/css/style.css	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/css/style.css	(from https://themewagon.github.io/fruitables/)
16:44:08	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%2265701aba-b78%22	https://themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css	(from https://themewagon.github.io/fruitables/)
16:44:09	85695/85695	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-14ebf%22	https://themewagon.github.io/fruitables/index.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/index-2.html	(from https://themewagon.github.io/fruitables/)
16:44:09	41805/41805	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-a34d%22	https://themewagon.github.io/fruitables/shop.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/shop.html	(from https://themewagon.github.io/fruitables/)
16:44:10	23488/23488	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-5bc0%22	https://themewagon.github.io/fruitables/cart.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/cart.html	(from https://themewagon.github.io/fruitables/)
16:44:19	50939/50939	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-c6fb%22	https://themewagon.github.io/fruitables/shop-detail.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/shop-detail.html	(from https://themewagon.github.io/fruitables/)
16:44:25	28187/28187	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-6e1b%22	https://themewagon.github.io/fruitables/chackout.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/chackout.html	(from https://themewagon.github.io/fruitables/)
16:44:28	19744/19744	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-4d20%22	https://themewagon.github.io/fruitables/testimonial.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/testimonial.html	(from https://themewagon.github.io/fruitables/)
16:44:30	14657/14657	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-3941%22	https://themewagon.github.io/fruitables/404.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/404.html	(from https://themewagon.github.io/fruitables/)
16:44:37	17434/17434	---M-Z	200	added ('OK')	text/html	etag:W/%2265701aba-441a%22	https://themewagon.github.io/fruitables/contact.html	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/contact.html	(from https://themewagon.github.io/fruitables/)
16:44:41	113538/113538	---M--	200	added ('OK')	image/png	etag:%2265701aba-1bb82%22	https://themewagon.github.io/fruitables/img/hero-img-1.png	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/hero-img-1.png	(from https://themewagon.github.io/fruitables/)
16:44:41	26857/26857	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-68e9%22	https://themewagon.github.io/fruitables/img/fruite-item-5.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/fruite-item-5.jpg	(from https://themewagon.github.io/fruitables/)
16:44:44	75084/75084	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-1254c%22	https://themewagon.github.io/fruitables/img/hero-img-2.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/hero-img-2.jpg	(from https://themewagon.github.io/fruitables/)
16:44:46	35753/35753	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8ba9%22	https://themewagon.github.io/fruitables/img/fruite-item-4.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/fruite-item-4.jpg	(from https://themewagon.github.io/fruitables/)
16:44:56	38581/38581	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-96b5%22	https://themewagon.github.io/fruitables/img/fruite-item-1.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/fruite-item-1.jpg	(from https://themewagon.github.io/fruitables/)
16:44:57	30486/30486	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7716%22	https://themewagon.github.io/fruitables/img/fruite-item-6.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/fruite-item-6.jpg	(from https://themewagon.github.io/fruitables/)
16:45:01	30070/30070	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7576%22	https://themewagon.github.io/fruitables/img/featur-1.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/featur-1.jpg	(from https://themewagon.github.io/fruitables/)
16:45:03	32809/32809	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8029%22	https://themewagon.github.io/fruitables/img/featur-2.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/featur-2.jpg	(from https://themewagon.github.io/fruitables/)
16:45:17	26051/26051	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-65c3%22	https://themewagon.github.io/fruitables/img/fruite-item-3.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/fruite-item-3.jpg	(from https://themewagon.github.io/fruitables/)
16:45:21	26589/26589	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-67dd%22	https://themewagon.github.io/fruitables/img/vegetable-item-1.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/vegetable-item-1.jpg	(from https://themewagon.github.io/fruitables/)
16:45:24	56672/56672	---M--	200	added ('OK')	image/png	etag:%2265701aba-dd60%22	https://themewagon.github.io/fruitables/img/vegetable-item-3.png	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/vegetable-item-3.png	(from https://themewagon.github.io/fruitables/)
16:45:24	35535/35535	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-8acf%22	https://themewagon.github.io/fruitables/img/vegetable-item-6.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/vegetable-item-6.jpg	(from https://themewagon.github.io/fruitables/)
16:45:25	47885/47885	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-bb0d%22	https://themewagon.github.io/fruitables/img/featur-3.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/featur-3.jpg	(from https://themewagon.github.io/fruitables/)
16:45:32	13168/13168	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-3370%22	https://themewagon.github.io/fruitables/img/vegetable-item-4.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/vegetable-item-4.jpg	(from https://themewagon.github.io/fruitables/)
16:45:39	107781/107781	---M--	200	added ('OK')	image/png	etag:%2265701aba-1a505%22	https://themewagon.github.io/fruitables/img/baner-1.png	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/baner-1.png	(from https://themewagon.github.io/fruitables/)
16:45:40	60058/60058	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-ea9a%22	https://themewagon.github.io/fruitables/img/best-product-2.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/best-product-2.jpg	(from https://themewagon.github.io/fruitables/)
16:45:40	50060/50060	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-c38c%22	https://themewagon.github.io/fruitables/img/best-product-1.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/best-product-1.jpg	(from https://themewagon.github.io/fruitables/)
16:45:41	46547/46547	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-b5d3%22	https://themewagon.github.io/fruitables/img/best-product-4.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/best-product-4.jpg	(from https://themewagon.github.io/fruitables/)
16:45:42	39945/39945	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-9c09%22	https://themewagon.github.io/fruitables/img/best-product-6.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/best-product-6.jpg	(from https://themewagon.github.io/fruitables/)
16:45:42	31701/31701	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-7bd5%22	https://themewagon.github.io/fruitables/img/best-product-3.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/best-product-3.jpg	(from https://themewagon.github.io/fruitables/)
16:45:50	3686/3686	---M--	200	added ('OK')	image/png	etag:%2265701aba-e66%22	https://themewagon.github.io/fruitables/img/payment.png	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/payment.png	(from https://themewagon.github.io/fruitables/)
16:45:51	3781/3781	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-ec5%22	https://themewagon.github.io/fruitables/img/testimonial-1.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/testimonial-1.jpg	(from https://themewagon.github.io/fruitables/)
16:45:53	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	C:/Mes%20Sites%20Web/com/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://themewagon.github.io/fruitables/)
16:45:53	30441/30441	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-76e9%22	https://themewagon.github.io/fruitables/img/best-product-5.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/best-product-5.jpg	(from https://themewagon.github.io/fruitables/)
16:45:53	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/Mes%20Sites%20Web/com/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://themewagon.github.io/fruitables/)
16:45:53	2303/2303	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-8ff%22	https://themewagon.github.io/fruitables/lib/easing/easing.min.js	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/easing/easing.min.js	(from https://themewagon.github.io/fruitables/)
16:45:54	9028/9028	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-2344%22	https://themewagon.github.io/fruitables/lib/waypoints/waypoints.min.js	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/waypoints/waypoints.min.js	(from https://themewagon.github.io/fruitables/)
16:45:54	9754/9754	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-261a%22	https://themewagon.github.io/fruitables/lib/lightbox/js/lightbox.min.js	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/lightbox/js/lightbox.min.js	(from https://themewagon.github.io/fruitables/)
16:45:55	3767/3767	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-eb7%22	https://themewagon.github.io/fruitables/js/main.js	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/js/main.js	(from https://themewagon.github.io/fruitables/)
16:45:56	42766/42766	---M-Z	200	added ('OK')	application/javascript	etag:W/%2265701aba-a70e%22	https://themewagon.github.io/fruitables/lib/owlcarousel/owl.carousel.min.js	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/owlcarousel/owl.carousel.min.js	(from https://themewagon.github.io/fruitables/)
16:45:57	85120/85120	---M--	200	added ('OK')	font/woff2	etag:W/%2214c80-7RZ9M14uDLAKgvLXNn8Fy01lV88%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff2?231ce25e89ab5804f9a6c427b8d325c9	C:/Mes%20Sites%20Web/com/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
16:45:58	8476/8476	---M--	200	added ('OK')	image/gif	etag:%2265701aba-211c%22	https://themewagon.github.io/fruitables/lib/lightbox/images/loading.gif	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/lightbox/images/loading.gif	(from https://themewagon.github.io/fruitables/lib/lightbox/css/lightbox.min.css)
16:45:59	4976/4976	---M--	200	added ('OK')	image/png	etag:%2265701aba-1370%22	https://themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.video.play.png	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.video.play.png	(from https://themewagon.github.io/fruitables/lib/owlcarousel/assets/owl.carousel.min.css)
16:45:59	113532/113532	---M--	200	added ('OK')	font/woff	etag:W/%221bb7c-47yt78jTFi+euyu4fJGbVQNZ9TA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-icons.woff?231ce25e89ab5804f9a6c427b8d325c9	C:/Mes%20Sites%20Web/com/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/fonts/bootstrap-iconsfb95.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css)
16:46:08	21465/21465	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-53d9%22	https://themewagon.github.io/fruitables/img/hero-img.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/hero-img.jpg	(from https://themewagon.github.io/fruitables/css/style.css)
16:46:10	53580/53580	---M--	200	added ('OK')	image/jpeg	etag:%2265701aba-d14c%22	https://themewagon.github.io/fruitables/img/banner-fruits.jpg	C:/Mes%20Sites%20Web/com/themewagon.github.io/fruitables/img/banner-fruits.jpg	(from https://themewagon.github.io/fruitables/shop.html)
